bvid,title,stated_requests,diagnosed_risks,request_snippet,question_protocol
BV1GoKH6KEn4,啃老族开烤鸭店，毛利率竟有70％！勇哥：你这鸭子能吃吗？,提升营业额/单量、请人诊断/优化,不可逆投入/沉没成本过高、产品价值/定价/毛利错误、人工/产能/交付问题、经营者经验/机会成本,遇到什么问题呢我现在是就是大概介绍一下我们店的情况吧我们店现在就是开了我们开了一个烤鸭店嘛然后这个烤鸭店反正就是主要是以做以做那个外卖为主的然后现在就是说感觉单量有点低所以说想来问一下就是说怎么怎么搞啊稍等一下哈就是你是做烤鸭店的是吧你站远一点吗能对着站远一点对着你的店吗给个全景吧可以你能不能先把你门口这个这个闪闪的这个灯灯灯条你闪屏先先关一下可以吗可以可以可以我让他关啊好的这是你在哪个城市啊我在上海在上海的松江四兴这里算是一个郊区吧但是四星这里人口很多有30万的那个人上海郊区OK你现在卖的是北京烤鸭是吧对对现在一天卖多少钱现在一天的余额是1600块钱左右然后我们的那个毛利率大概在额我们总毛利率大概在58%左右58.3对你1600块钱里面多少是外卖基本上1500块钱是外卖那你1500块钱的外卖你们外卖平台扣点多少钱啊扣点多少额这些就是全部都算自己实际收到的就是说收到的1600块钱那你毛利率有58%吗有啊有啊除去平台的扣点有58%,问毛利与变动成本、确认品类与核心产品、先看店外与门头、确认城市与商圈、问当前营业额、问面积与房租、问水电与其他固定支出、追问客户与消费理由
BV1fbKm6JE4Z,50万开日咖夜酒月亏1万8，勇哥宣判：越坚持越亏！姑娘的创业梦破碎@勇哥餐饮原创,提升营业额/单量、亏损/是否止损,单位经济与现金流不成立、不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题,140平你整这么小个门头你生怕消费者发现了发现你了是不是这个店投入多少钱呢我50个W500000呐就这个店居然能花50万我的天呐装修公司应该挣得你20万你现在不开你每天亏200一个月亏6000嗯你开了玫瑰亏1万8遇到什么题呢呃就是想提升一下营业额呃哪个是你的店现在这个怪天气怪天气呃日咖夜酒就生意不好怪天气吗呃没有没有没有就是呃就是当时我们的想法是想打造一个那种多元的变化的那种空间然后就是可以做很多的事情的所以就嗯你这个招牌就这么大吗呃对对对是的呃你左右两边那个银色的那个是不是你的区域就玻璃上面那个是不是你的区域也是也是那你为什么整这么小一个招牌然后门整这么小一个呢你你你是卖啥的老板娘就是白天是咖啡然后晚上是鸡尾酒精酿然后还嗯然后就是啤酒这种那关键是哪个地方能体现出来你是卖这个的呀呃可能强势这个玻璃上有一些话太低调啦你太低调了做生意怎么能这么低调呢哪个城市啊敦煌敦煌是吧市区县城还是乡镇这怎么说呢就是这个地方反正挺小的县级市但是就是,先看店外与门头、问初始投入与债务、确认品类与核心产品、确认城市与商圈、问当前营业额、问毛利与变动成本、问面积与房租、问水电与其他固定支出、问经营时长与历史、追问客户与消费理由、比较退出与机会成本
BV1GxKU6GEjJ,800万开1300平福州菜馆，月亏1万5怎么改？ @勇哥餐饮原创,提升营业额/单量,单位经济与现金流不成立、不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、人工/产能/交付问题、经营者经验/机会成本,遇到什么问题呢现在的话就是营业额下滑然后现在我给给他优人员什么优化了以后然后现在我们的我人员没优化的时候盈亏平衡点是我们输算了一下是90我来问你来回答我吧好不好哥们我来问你来回答我今年多少岁呢好嘞好嘞好嘞我妈我40岁OK哪个城市啊呃福州福州市福建省福州市对市区景你是开的什么店我想问一下呃做中餐的正餐的传统福州菜你的招牌在哪就是那个红色的又是我招牌倒山宝源吗对你那个是你那个不是门帘的那个那个啥吗是的因为横批吗你那不是对他是统一要做成这种的这是景区嘛OK你现在就是做中餐的是吧对做中餐福州菜对现在一天卖多少钱呃现在的话呢平均一天卖1万9100万90001万91万9700对OK毛利率多少毛利率是上个月是59.5%就60%嘛对OK11400的毛利多大面积呢呃里面是有一千四百一千三百平租金多少钱一个月我们房租物业的话是12万2000可是加上仓库的话仓库冻库是14万1900块一个月是吗对一个月也就是说每天的房租是4730多少人员在电呢我们现在,问初始投入与债务、先看店外与门头、确认城市与商圈、确认品类与核心产品、问当前营业额、问毛利与变动成本、问面积与房租、问人员与老板劳动、问水电与其他固定支出、拆分堂食/外卖/渠道、追问客户与消费理由
BV14aK26bEAg,俩护士负债开糖水店，20万投入全亏光！勇哥劝了又不听 @勇哥餐饮原创,亏损/是否止损,单位经济与现金流不成立、不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题、经营者经验/机会成本,遇到什么问题呢现在就是我们这个店是准就是每天营业额就是亏本的OK你在哪个城市啊我在呃湖南娄底新化市区县城乡站哦小县城小县城是吗那你这个就是个糖水店嘛是吧我记得我之前连过这个品牌的对面有哦里面有糖水杂物然后一些主食好现在一天卖多少钱呢300多四百三百五嘛毛利率有多少啊对对平均就是三四百左右一个月有没有1万块钱的银额呃可能差不多吧9000到1万吧毛利率有多少额折算外卖的话可能外卖加糖吃的话可能是50左右吧四五十你350里面糖食有多少钱外卖有多少钱嗯唐诗跟他对办法差不多啊可能一半一半吧一半是吧OK这个店面积一半26租金多少钱个月呃呃3000813两2万8800一年就是2000多2万8800一年是吧是的也就每个月的租金是2400啊每天的房租是80块钱啊几个人在电上啊两个人你和谁啊我和另外一个你们是合伙人吗还是你聘请的他啊合伙的就两个人合伙的是吧哦男的女的啊女的我们两个就是两个朋友OK好你们俩都在店上工作是不是啊对人工算多少钱我们是算30,确认城市与商圈、问当前营业额、问面积与房租、问水电与其他固定支出、问经营时长与历史、问初始投入与债务、问人员与老板劳动、先看店外与门头、问租约与一次性费用、比较退出与机会成本
BV1KSKF6hE66,工厂里开养生馆！主打中药茶饮+手搓养生丸。勇哥：谁会到你这里来养生？@勇哥餐饮原创,请人诊断/优化、开店/选址/签约前判断,不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题、经营者经验/机会成本,遇到什么问题呢啊我是这样的这边是一个刚开的街区然后我想让你帮我选址看一下里合不合适先找位置是不对呃这边这个这三个这个店面OK浙江金华多大面积啊多大面积一百一一百一实用面积100你这个不是厂房吗以前的对老厂房改建改新那个二楼要自己搭建吗二楼二二楼搭建不了我进去给您看一下二楼他是已经隔好了它里面是这样的就这三个门面加在一起110平是吧啊对对对两个门面空调已经装好了吗装好了中央空调对OK房租多少钱贵呃第一具体我现在不好说但是呢比旁边旁边那个热门街区我去调查的时候他大概的大概的说一个大概的呃6万左右是怎么付啊呃继父有没有押金呃有押金多少钱呃一个月有没有入场费中介费喝茶费呃没有这个是第一手OK你准备来做什么项目呃是这样的我是自己家里面是开中医馆的已经好多年了然后我想在这边呢就是把它把这个店铺分为两个一个是做中医药的DIY手串然后那个香囊之类的然后另外一半的话是准备做餐饮餐饮之类的当时现在不知道想什么项目比较好中药奶茶啊不要不要不要是新中式,问面积与房租、问租约与一次性费用、问人员与老板劳动
BV1DxK56VE2t,60万开高端小火锅，和龙歌PK！勇哥：又是一个活生生的悲剧  @勇哥餐饮原创,提升营业额/单量,单位经济与现金流不成立、不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题,有什么问题呢嗯就是我这个实验生意太差了冰瓜小火锅是吗对顶呱呱小火锅丁瓜哦丁呱呱丁呱瓜两个瓜子还不一样这名字起的非常差劲加盟店吗不是自己做的我跟你讲你的名字为什么差劲往后退你手机里面打钉瓜如果你把第一个瓜子打穿了你说你打出来的会一个有口子一个没口子的吗不会这就起了差劲的点让人家搜都不好搜你明白我是吧明白了明白了对吧你要刮你两个就都有口子嘛顶呱呱嘛顶呱呱嘛你不能说是一个有口一个没有口噻你这个样子人家在搜索你的时候都不好搜索就很麻烦这些东西都是小细节一天卖多少钱哦现在平均下来开了十多天一天差不多2000块钱哪个城市啊安徽淮北安徽淮北是吧对市区县城乡镇市区市区毛利率多少毛利率现在做活动在45%左右开十几天开之前认不认识我们啊认识问过我们吗没有为什么不问你当时没有讲那么多就直接就开了看我们直播多久呢看我们视频多久呢看了34年了吧34年了对做过餐饮吗啊以前做过多大面积一共是240个平方啊房租多少钱房租1万2400400块钱410块钱一个一天,问初始投入与债务、先看店外与门头、问当前营业额、确认城市与商圈、问毛利与变动成本、问面积与房租、问人员与老板劳动、问水电与其他固定支出、追问客户与消费理由、问经营时长与历史
BV16BKg6UEfL,勇哥连麦美国面包店，站大街上怕手机被抢！勇哥觉得穿越回10年前 @勇哥餐饮原创,提升营业额/单量、请人诊断/优化,单位经济与现金流不成立、目标客流/可见/转化断裂、产品价值/定价/毛利错误、人工/产能/交付问题,有什么问题啊额就想提升一下营业额然后看看就是说我们还有什么啊没有看到的问题可以优化一下OK你现在一天卖多少钱啊呃一天卖三千三千美元嘛是吧啊对对对OK毛利率多少啊68房租多少钱呢呃2万了2万美金一个月呃2万20002万2000刀一个月是吗对733哦不便宜哦几个人在天上呃14个人13个13个13个对这么多人吗啊对对对因为我们人效比较低为什么要这么多人啊等啊这个可能老板他的刀除了老板那边他负责的部分需要多一点人大哥一个人给你产生230的230美金的这个收益啊我问一下你一个人工一个月多少钱额人工的话一共一个月3万6吧一个人多少钱我说呃大概大概3000这样子3000刀是吧对13个人3万9嘛3万还还没到就3万6只到3万63万6那就1200刀嘛OK水电器多少钱啊水电气的话一个月5000吧你的人力成本太高了已经占了你余额的百分之我看一下1200唉这样算下来好像也还好还是高了占了你余额的40%呢懂吗你的毛利率是68%你的人工就占了40%你怎么可能,问当前营业额、问毛利与变动成本、问面积与房租、问人员与老板劳动、问水电与其他固定支出、问经营时长与历史、先看店外与门头
BV1otK365Ewy,小伙被美色迷惑，砸70万拆迁款加盟奶茶！ 以为能躺赚百万 @勇哥餐饮原创,,单位经济与现金流不成立、不可逆投入/沉没成本过高、目标客流/可见/转化断裂、加盟/接盘/合同风险、人工/产能/交付问题、经营者经验/机会成本,哥们儿70万呐70我滴天呐用金条都可以把它镶出来了用金片都可以镶出来的70万你把100块钱的人民币你把它铺满哥们儿你都铺不了70万怎么找到这个公司的在抖音上刷到嘛刷到他们有一个博主是个女孩女孩是个研究生那个女孩做的人设是手里面有好多家店女孩漂不漂亮漂亮喜不喜欢呃当时可能感觉就是想认识一下嘛每年就是坐在躺在床上每年都能挣两三百万哈哈哈哈哈哈呃开的什么店开的奶茶店有个小阿娘手术现在一天卖多少钱一天昨天卖了两百四一百五哪个城市啊在安徽亳州市区县城还是乡镇呃市区安徽安徽亳州毛利率多少毛利率我算的外卖加糖食大概在0.30.3啦对就外卖他是就保本吗外卖我问一下你你240块钱里面多少是糖食多少是外卖呃我大致算了一下大概就一半一半30%OK房租多少钱给房租9700一个月9700一个月啊啊对你才卖240啊三百三百二十三的租金几个人在天上呃两个人员工多少钱工资大概一个人三千一六千二一天就6300吧就算你210块钱210块钱的人工你和谁呀啊不是我我不,确认品类与核心产品、问当前营业额、确认城市与商圈、问毛利与变动成本、问面积与房租、问人员与老板劳动、问水电与其他固定支出、问租约与一次性费用、比较退出与机会成本、问初始投入与债务、先看店外与门头
BV1qtNt6xEeH,江西情侣远赴西藏，开卤菜熟食店，为了结婚压力山大 @勇哥餐饮原创,提升营业额/单量,不可逆投入/沉没成本过高、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题、经营者经验/机会成本,有什么问题我我想看下怎么提升点营业额嘛你现在是在卖烤鸭还有什么菜鸭货都在卖卤菜鸭货走走走过去我看一下注意车哈以前就是做餐饮的吗呃第一次这是压货嗯主要这是手撕烤鸭不能摆到门口吗呃门口不让摆因为市场监督局会馆这是脆皮五花北京烤鸭还自己烤脆皮五花脆皮五花自己烤的吧对自己烤的都自己烤的这是凉菜对凉菜凉菜都是菜市场买的新鲜然后自己拿那个卤水过一下那这些东西全都是自己搞的啊对手艺人啊自己学的嘛去学的是吧脆皮五花每天烤多少条出来呃看情况周末的话一天烤15条平常的话一天就烤十条就烤一锅嘛对我看下你这个脆皮文化没爆皮啊大哥爆爆是爆了嘞我喝不够肉没选好呃因为他这边没有新鲜肉他这边只有冷鲜肉西餐只有冷鲜肉是吧只有冷鲜肉没有新鲜肉OK走出去吧好我去对面挺靠谱的啊小伙子哎没办法呀要要娶老婆哪里带老婆不是已经娶到了吗还没举诶还在谈恋爱还在谈恋爱是吗对嗯来360度原地转圈我看什么上圈慢点后面是追一集后跟不动嗯你是个县城吗呃市区就这么一条街是吧对对对每天这个地,确认城市与商圈、问当前营业额、问毛利与变动成本、问面积与房租、问人员与老板劳动、问水电与其他固定支出、问经营时长与历史、先看店外与门头、问租约与一次性费用、比较退出与机会成本、追问客户与消费理由、拆分堂食/外卖/渠道
BV1VANC6ZE5B,大姐一句中低端顾客得罪众人，勇哥赶紧救火！勇哥劝老板娘要知足 @勇哥餐饮原创,,单位经济与现金流不成立、目标客流/可见/转化断裂、产品价值/定价/毛利错误、经营者经验/机会成本,有什么问题啊我这边有一个最大的问题就是我的客人85%都是吃团购我就说我的那个客群已经是中低端客客群了那我想就是把量做起来怎么做到量今年多少岁姐55了OK这个店开多少年呢23年你是想把价做起来还是量做起来我现在没办法那个客单价做不起来因为我的顾客都是中低端顾客资本做量的你不能叫中低端顾客你可能不太会表达叫中低端客单价明白吗你不能这样去形容明白我意思没有叫中低端客单价不是中低端顾客你可能表达有误但你肯定不是这个意思哎对就是你你全部在上团购是不是对的我的客人85%都是来吃团购的那这个很好啊没有问题啊但是我那个团购定价又太低呀OK你是50%的毛利率的吗哎对对对但是有些神券啊有些什么比如说我在直播间又有霸王餐那你每个月的推广费大概多少钱你好我是在美团上投的3000在那个抖音本地推上是3000啊6000块钱是吧嗯嗯OK每个月拿来做活动做力度的这些套餐多不多没有就是你主要是你主要是卖什么的我主要是卖田鸡火锅鱼丸火锅OK主要是开了20多年是不是,确认城市与商圈、问当前营业额、问面积与房租、问水电与其他固定支出、拆分堂食/外卖/渠道
BV1WTNG6REuu,13万开围炉串串 日亏4百，老板看生意不好，果断关店找勇哥 @勇哥餐饮原创,请人诊断/优化、开店/选址/签约前判断、亏损/是否止损,单位经济与现金流不成立、不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题、经营者经验/机会成本,投资多少钱这个店十十三万多你在开业期间每天亏400是不是对对对不要看人拉屎钩子痒你干这个不就是看人拉屎钩子痒吗你现在又看你旁边的拉人拉屎钩子这样这个办法是我那个亲戚帮我出的他我现在就开了个串串就是那个麻烫店开业没生意我想怎么这个位置行不行你帮我分析一下呃开多久呢开了大概一个月多一点我上个月没生意的时候我把它关了我想重新调整一下开了不到一个月是吧开了一个月多一点呃拿着别放开之前认识我们吗开之前不认识你OK在哪个城市在湖北孝感市区县城乡站呃市区你已经关了多久了我关了大概20天左右吧就这20天你在干嘛呢20天我买你的课程十天一直等着你们跟你连线啊你帮我呃那个分析一下走出去吧你这个做啥的做围炉串串的吗对对围炉串串的就是麻辣烫老式那种麻辣烫OK关了20天开了多久呢开了40天左右吧开了40天是吧对对对OK那你开的时候一天卖多少钱呢开业的时候好的时候一天卖个300多块钱差的时候就100来块钱那平均150嘛对对对毛利率有多少呢毛利60%ok99,问初始投入与债务、问经营时长与历史、确认城市与商圈、先看店外与门头、问当前营业额、问面积与房租、问人员与老板劳动、问水电与其他固定支出、比较退出与机会成本
