bvid,title,duration,subtitle_status,title_stage,title_problems
BV1R4g16mEpY,烧烤界的卷王，勇哥：真实在，慈善烧烤  @勇哥餐饮原创,16:24,saved,其他案例/内容,
BV1zVgC6UEBg,200万开5千平 人宠社交餐厅！小伙喊出：要么富要么亖的口号。@勇哥餐饮原创,25:01,saved,其他案例/内容,投入过重
BV1gmg66fEBN,砸30万开店 只为卖冷冻预制面包！勇哥：别人为什么不买现烤的？@勇哥餐饮原创,12:25,saved,其他案例/内容,投入过重、产品与定价
BV16Sgr6jEQT,老哥加盟保密咖啡，不自量力敢和大牌去PK，想要月赚2万！别人不行我可以！@勇哥餐饮原创,30:31,no_ai_zh,增长/成功复盘,加盟与品牌、增长诉求
BV1VNgk6KEuu,勇哥探店后续 71岁老奶奶菌汤锅，勇哥：丢人丢到家了，像没吃过好东西一样！（成都）,01:47,saved,其他案例/内容,
BV1utgz69EGe,加盟代理妄想割别人，结果自己亏没50万！找勇哥许愿退款 @勇哥餐饮原创,33:54,no_ai_zh,经营困境/止损,亏损与现金流、加盟与品牌
BV1rzKY6jEYY,杠精老板 疑似缺斤少两，勇哥看破不说破，评论区发言黑店,12:24,no_ai_zh,其他案例/内容,
BV1zzKh6BEcM,汉堡总部又发文嘲讽勇哥！补贴一万个汉堡，2元一个？,01:58,saved,其他案例/内容,加盟与品牌
BV1q6Kb6FEwe,120万开奶茶店，2个月亏200万！刷新连麦记录，勇哥：突然理解拳王亏2个亿   @勇哥餐饮原创,34:05,saved,经营困境/止损,亏损与现金流、投入过重
BV13aK86sEvk,勇哥回应汉堡挑衅嘲讽，小心把你们送进去,06:17,saved,争议/花絮/非诊断,
BV1EEK86PExj,大姐不顾老公反对，执意加盟炮崩鸡！加盟费已给，勇哥：100％亏钱没有悬念！,18:21,saved,经营困境/止损,亏损与现金流、加盟与品牌
BV1hmK462EoX,神人开饭堂月亏1万5，一份排骨汤卖98！勇哥直呼牛波！ @勇哥餐饮原创,31:08,saved,经营困境/止损,亏损与现金流、产品与定价
BV1GoKH6KEn4,啃老族开烤鸭店，毛利率竟有70％！勇哥：你这鸭子能吃吗？,15:57,saved,其他案例/内容,
BV1fbKm6JE4Z,50万开日咖夜酒月亏1万8，勇哥宣判：越坚持越亏！姑娘的创业梦破碎@勇哥餐饮原创,21:50,saved,经营困境/止损,亏损与现金流、投入过重
BV1GxKU6GEjJ,800万开1300平福州菜馆，月亏1万5怎么改？ @勇哥餐饮原创,23:28,saved,经营困境/止损,亏损与现金流、投入过重
BV1zTK261Ewh,亲姑坑侄子7万接下亏钱店，儿子又白嫖老爹来打工！勇哥：整整齐齐一家人牛波！ @勇哥餐饮原创,12:23,saved,经营困境/止损,亏损与现金流
BV14aK26bEAg,俩护士负债开糖水店，20万投入全亏光！勇哥劝了又不听 @勇哥餐饮原创,41:41,saved,经营困境/止损,亏损与现金流、投入过重
BV1rRKr6MEhZ,放着好位置不选，贪便宜租下垃圾位置，江西小炒还需要加盟？ @勇哥餐饮原创,15:10,no_ai_zh,其他案例/内容,选址与客流、加盟与品牌
BV1REKq67EQj,给朋友投45万 开水果烘焙综合体，自己当甩手掌柜。勇哥：脑壳被驴踢了！ @勇哥餐饮原创,11:56,saved,其他案例/内容,
BV1CpKB6YE6N,大姐投50万开韩式包饭店，店员闲的玩手机！@勇哥餐饮原创,13:10,saved,其他案例/内容,投入过重
BV1EvKK6NEfC,勇哥说可以干，但要少投一点，他直接砸进去200万开棋牌室！,17:53,saved,其他案例/内容,投入过重
BV1bKKw6BEpg,大姐4万开凉菜店，卖3元预制凉皮！勇哥评价大姐太抠搜了，连技术都不学@勇哥餐饮原创,16:35,saved,其他案例/内容,投入过重、产品与定价
BV1g2Kw63EKv,月赚2万的火锅店，老板居然嫌太累！勇哥：挂小红薯，20万！ @勇哥餐饮原创,07:45,no_ai_zh,增长/成功复盘,增长诉求
