bvid,title,caption_count,coverage_ratio,restaurant_signal,financial_signal,title_body_alignment,dimensions,path
BV1GoKH6KEn4,啃老族开烤鸭店，毛利率竟有70％！勇哥：你这鸭子能吃吗？,541,1.0,101,57,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1GoKH6KEn4.srt
BV1fbKm6JE4Z,50万开日咖夜酒月亏1万8，勇哥宣判：越坚持越亏！姑娘的创业梦破碎@勇哥餐饮原创,680,1.0,94,18,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1fbKm6JE4Z.srt
BV1GxKU6GEjJ,800万开1300平福州菜馆，月亏1万5怎么改？ @勇哥餐饮原创,807,0.999,126,38,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1GxKU6GEjJ.srt
BV14aK26bEAg,俩护士负债开糖水店，20万投入全亏光！勇哥劝了又不听 @勇哥餐饮原创,1255,1.0,119,33,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV14aK26bEAg.srt
BV1KSKF6hE66,工厂里开养生馆！主打中药茶饮+手搓养生丸。勇哥：谁会到你这里来养生？@勇哥餐饮原创,272,1.0,40,10,1,毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1KSKF6hE66.srt
BV1DxK56VE2t,60万开高端小火锅，和龙歌PK！勇哥：又是一个活生生的悲剧  @勇哥餐饮原创,527,0.999,71,17,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1DxK56VE2t.srt
BV16BKg6UEfL,勇哥连麦美国面包店，站大街上怕手机被抢！勇哥觉得穿越回10年前 @勇哥餐饮原创,558,1.0,94,15,2,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV16BKg6UEfL.srt
BV1otK365Ewy,小伙被美色迷惑，砸70万拆迁款加盟奶茶！ 以为能躺赚百万 @勇哥餐饮原创,1035,1.0,135,53,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1otK365Ewy.srt
BV1qtNt6xEeH,江西情侣远赴西藏，开卤菜熟食店，为了结婚压力山大 @勇哥餐饮原创,586,0.999,58,20,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1qtNt6xEeH.srt
BV1VANC6ZE5B,大姐一句中低端顾客得罪众人，勇哥赶紧救火！勇哥劝老板娘要知足 @勇哥餐饮原创,207,0.998,47,16,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1VANC6ZE5B.srt
BV1WTNG6REuu,13万开围炉串串 日亏4百，老板看生意不好，果断关店找勇哥 @勇哥餐饮原创,532,1.0,72,12,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1WTNG6REuu.srt
BV16FNP64EH4,高价摊位卖提拉米苏，店前人流不断，老板纳闷为啥没人买？@勇哥餐饮原创,463,0.999,73,14,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV16FNP64EH4.srt
BV1NBNJ62Ews,看勇哥视频自学成才，指点朋友扭亏为盈！合伙开800平烧烤店，月入3万！@勇哥餐饮原创,621,1.0,101,9,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1NBNJ62Ews.srt
BV1VUMn6zEjq,冤种被总部和招商双重忽悠！选鸟不拉屎位置开咖啡店！别人说啥他都信  @勇哥餐饮原创,451,0.998,82,18,1,毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1VUMn6zEjq.srt
BV1PhM36cEgF,史上最窄快餐店，刚刚开业就要没！@勇哥餐饮原创,442,0.999,51,16,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1PhM36cEgF.srt
BV1XFMq6jEG4,十年蛋糕老店，被早餐店影响生意，老板动了“坏心思”，勇哥：我不当坏人！@勇哥餐饮原创,448,0.999,58,16,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1XFMq6jEG4.srt
BV13FMx6mELf,290万开宫廷宴，顾客坐龙椅当皇帝！勇哥直接宣判：全部归零！@勇哥餐饮原创,955,1.0,102,25,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV13FMx6mELf.srt
BV1X1Td6eEoq,投120万 在山头开咖啡店，环境很好，营业额却很拉。@勇哥餐饮原创,560,1.0,91,28,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1X1Td6eEoq.srt
BV1D1T96dEZN,再遇烤鱼神店，周围店铺全倒闭！老板告赢快招公司，给餐饮人上大分！@勇哥餐饮原创,925,1.0,74,12,2,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1D1T96dEZN.srt
BV1i3TX6cE6H,炒饭还用加盟？，勇哥直接让关店，小伙子不服气，还想试一试！@勇哥餐饮原创,432,1.0,60,23,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1i3TX6cE6H.srt
