bvid,title,accepted,exclusion_reasons,caption_count,coverage_ratio,restaurant_signal,financial_signal,unrelated_signal,title_body_alignment,dimensions,path
BV1R4g16mEpY,烧烤界的卷王，勇哥：真实在，慈善烧烤  @勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；标题品类与正文不匹配；与其他视频字幕重复且非最佳匹配,214,0.479,1,0,0,0,位置商圈与客流、产品客单与差异化,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1R4g16mEpY.srt
BV1zVgC6UEBg,200万开5千平 人宠社交餐厅！小伙喊出：要么富要么亖的口号。@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；标题品类与正文不匹配；与其他视频字幕重复且非最佳匹配,259,0.308,1,0,0,0,水电及其他固定成本、位置商圈与客流、门头与可见性,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1zVgC6UEBg.srt
BV1gmg66fEBN,砸30万开店 只为卖冷冻预制面包！勇哥：别人为什么不买现烤的？@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足,235,0.64,0,0,0,1,位置商圈与客流,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1gmg66fEBN.srt
BV1VNgk6KEuu,勇哥探店后续 71岁老奶奶菌汤锅，勇哥：丢人丢到家了，像没吃过好东西一样！（成都）,False,字幕条目过少；餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；与其他视频字幕重复且非最佳匹配,29,0.607,0,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1VNgk6KEuu.srt
BV1zzKh6BEcM,汉堡总部又发文嘲讽勇哥！补贴一万个汉堡，2元一个？,False,餐饮语义信号不足；经营/财务语义信号不足；标题品类与正文不匹配；与其他视频字幕重复且非最佳匹配,675,11.332,3,0,0,0,人工与老板在场、位置商圈与客流、产品客单与差异化、渠道口碑与转化、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1zzKh6BEcM.srt
BV1q6Kb6FEwe,120万开奶茶店，2个月亏200万！刷新连麦记录，勇哥：突然理解拳王亏2个亿   @勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；标题品类与正文不匹配；字幕覆盖严重不足；与其他视频字幕重复且非最佳匹配,239,0.18,5,0,1,0,位置商圈与客流、门头与可见性、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1q6Kb6FEwe.srt
BV13aK86sEvk,勇哥回应汉堡挑衅嘲讽，小心把你们送进去,False,餐饮语义信号不足；经营/财务语义信号不足；标题品类与正文不匹配；与其他视频字幕重复且非最佳匹配,590,3.571,26,0,0,0,位置商圈与客流、门头与可见性、产品客单与差异化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV13aK86sEvk.srt
BV1EEK86PExj,大姐不顾老公反对，执意加盟炮崩鸡！加盟费已给，勇哥：100％亏钱没有悬念！,False,字幕条目过少；餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；标题品类与正文不匹配；字幕覆盖严重不足；与其他视频字幕重复且非最佳匹配,9,0.038,0,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1EEK86PExj.srt
BV1hmK462EoX,神人开饭堂月亏1万5，一份排骨汤卖98！勇哥直呼牛波！ @勇哥餐饮原创,False,字幕条目过少；餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；字幕覆盖严重不足；与其他视频字幕重复且非最佳匹配,20,0.029,0,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1hmK462EoX.srt
BV1GoKH6KEn4,啃老族开烤鸭店，毛利率竟有70％！勇哥：你这鸭子能吃吗？,True,,541,1.0,101,57,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1GoKH6KEn4.srt
BV1fbKm6JE4Z,50万开日咖夜酒月亏1万8，勇哥宣判：越坚持越亏！姑娘的创业梦破碎@勇哥餐饮原创,True,,680,1.0,94,18,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1fbKm6JE4Z.srt
BV1GxKU6GEjJ,800万开1300平福州菜馆，月亏1万5怎么改？ @勇哥餐饮原创,True,,807,0.999,126,38,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1GxKU6GEjJ.srt
BV1zTK261Ewh,亲姑坑侄子7万接下亏钱店，儿子又白嫖老爹来打工！勇哥：整整齐齐一家人牛波！ @勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；与其他视频字幕重复且非最佳匹配,120,0.265,1,1,0,0,水电及其他固定成本、渠道口碑与转化,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1zTK261Ewh.srt
BV14aK26bEAg,俩护士负债开糖水店，20万投入全亏光！勇哥劝了又不听 @勇哥餐饮原创,True,,1255,1.0,119,33,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV14aK26bEAg.srt
BV1REKq67EQj,给朋友投45万 开水果烘焙综合体，自己当甩手掌柜。勇哥：脑壳被驴踢了！ @勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；与其他视频字幕重复且非最佳匹配,239,0.513,5,0,1,0,位置商圈与客流、门头与可见性、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1REKq67EQj.srt
BV1CpKB6YE6N,大姐投50万开韩式包饭店，店员闲的玩手机！@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；标题品类与正文不匹配；与其他视频字幕重复且非最佳匹配,219,0.445,2,0,0,0,位置商圈与客流、产品客单与差异化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1CpKB6YE6N.srt
BV1EvKK6NEfC,勇哥说可以干，但要少投一点，他直接砸进去200万开棋牌室！,False,字幕条目过少；餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；字幕覆盖严重不足；与其他视频字幕重复且非最佳匹配,51,0.106,0,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1EvKK6NEfC.srt
BV1bKKw6BEpg,大姐4万开凉菜店，卖3元预制凉皮！勇哥评价大姐太抠搜了，连技术都不学@勇哥餐饮原创,False,字幕条目过少；餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；字幕覆盖严重不足；与其他视频字幕重复且非最佳匹配,12,0.034,0,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1bKKw6BEpg.srt
